Makara;Azami m;Güzergâh Kesimi m;Sipariş/Fire Payı m;İşletme Yedeği m;Yuvarlama Mutabakatı m;Yüklenen m;Kapasite Bakiyesi m;Kalan Kapasite m;Aşım m;Tahmini Net Ağırlık kg;Kesimler;Fiziksel Durum;Veri Durumu;Not
DRM-081;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PA-G1-S13:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-082;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PA-G1-S14:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-083;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PA-G1-S15:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-084;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PA-G1-S16:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-085;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PA-G1-S17:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-086;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PA-G1-S18:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-087;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PA-G1-S19:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-088;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PA-G1-S20:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-089;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S2:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-090;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S3:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-091;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S4:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-092;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S5:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-093;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S6:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-094;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S7:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-095;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S8:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-096;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S9:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-097;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S10:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-098;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S11:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-099;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S12:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-100;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S13:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-101;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S14:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-102;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S15:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-103;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S16:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-104;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S17:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-105;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S18:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-106;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S19:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-107;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PB-G1-S20:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-108;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S2:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-109;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S3:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-110;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S4:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-111;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S5:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-112;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S6:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-113;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S7:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-114;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S8:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-115;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S9:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-116;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S10:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-117;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S11:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-118;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S12:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-119;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S13:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-120;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S14:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-121;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S15:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-122;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S16:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-123;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S17:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-124;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S18:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-125;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S19:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
DRM-126;1000.0;966.0;19.0;0.0;0.0;985.0;15.0;15.0;0.0;3570.1325;CUT-C2-PC-G1-S20:966m;VALID;CONFIRMED_PROJECT_DATA;"Gerçek güzergâh kesimleri FFD ile yerleştirildi; sipariş/fire payı mevcut kapasitelere dağıtıldı; işletme yedeği ayrı stok makaralarında tutuldu."
